AID	Panel ID	SID	CID	Activity	AC Value (micromolar)	AC Name	BioAssay Name	Protein Accession	Target Name	Outcome Method	PubMed ID	GeneID	Target Count (active)	Target Count (tested)
258023	0	103476867	11701328	Unspecified	202	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103476922	11528610	Unspecified	1292	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103476923	11673059	Unspecified	328.7	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103477117	44251142	Active	11.55	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477125	44406794	Active	28.38	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477126	44406795	Active	20.48	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477164	2917429	Unspecified	342.3	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103477166	10036413	Inactive		Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103477232	44406804	Active	17.15	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477267	11708775	Active	40.95	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477274	11536281	Active	33.97	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477275	11528678	Active	42.06	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477276	11543253	Unspecified	179.6	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103477277	11482022	Active	47.57	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477286	11629967	Unspecified	1267	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103477287	44406806	Active	36.95	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477288	44406807	Active	13.22	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	1	1
258023	0	103477297	3032509	Unspecified	72.41	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103477315	44406812	Unspecified	363.6	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103477332	3032646	Unspecified	62.36	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103477333	11651542	Unspecified	149.35	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103508317	3035211	Unspecified	97.7	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	36
258023	0	103518981	11492253	Inactive		Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
258023	0	103518986	16118954	Unspecified	82.54	Ki	Inhibitory activity against human IDO	P14902		Confirmatory	16420054	3620	0	1
326467	0	103167124	4650	Inactive		IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	18	389
326467	0	103167137	9688	Inactive		IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	0	3
326467	0	103175070	10286	Inactive		IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	97
326467	0	103181569	4055	Active	1	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	56	540
326467	0	103222861	3806	Active	1	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	34	82
326467	0	103235379	10667	Active	7.1	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	39	302
326467	0	103240920	8530	Active	0.99	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	20	39
326467	0	103254774	72732	Active	4.34	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103310959	8342	Active	0.28	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	19	42
326467	0	103326115	16871	Active	0.72	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	30	232
326467	0	103397266	11122	Inactive		IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	0	2
326467	0	103544392	6755	Unspecified	675	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	5	68
326467	0	103570079	12239941	Active	2.92	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103577973	44457253	Active	0.082	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103577976	44457255	Active	0.186	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103577977	24824612	Active	0.13	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103577981	24822271	Active	0.247	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103578028	72734	Active	0.214	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103578066	44457280	Active	0.252	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103578107	12239942	Active	0.121	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103578108	24971370	Active	4.95	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103578142	24824608	Active	0.933	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103578145	21125239	Active	0.34	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103578222	21155916	Active	0.88	IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	1
326467	0	103578272	5284607	Inactive		IC50	Inhibition of purified human recombinant IDO	P14902		Confirmatory	18318466	3620	1	283
